Gama,Acabado,Nombre interno
Laca,Crema,LAC_Cre_tab
Wood,Nogal,WOO_Nog_M_tab
Laca,Seda,LAC_Sed_tab
Wood,Cerezo,WOO_Cer_M_tab
Laminado,Blanco,HPL_Bla_tab
Laminado,Cadaqués,HPL_Cad_tab
Wood,Roble,WOO_Rob_M_tab
Laca,Pino,LAC_Pin_tab
Laca,Noche,LAC_Nch_tab
Laminado,Sable,HPL_Sab_tab
Linóleo,Mushroom,LIN_Mus_tab
Laminado,Agave,HPL_Aga_tab
Laminado,Noir,HPL_Noi_tab
Laca,Tinta,LAC_Tin_tab
Laca,Argil,LAC_Arg_tab
Linóleo,Olive,LIN_Oli_tab
Laminado,Rosa-baby,HPL_Rsa_tab
Laca,Humo,LAC_Hmo_tab
Laca,Marga,LAC_Mar_tab
Linóleo,Pewter,LIN_Pew_tab
Laminado,Pale,HPL_Pal_tab
Laminado,Perle,HPL_Per_tab
Laca,Celeste,LAC_Cel_tab
Laminado,Comodoro,HPL_Com_tab
Laminado,Fes,HPL_Fes_tab
Linóleo,Smokey-Blue,LIN_Smo_tab
Laminado,Sahara,HPL_Sah_tab
Laca,Negro,LAC_Ngr_tab
Laminado,Brick,HPL_Bri_tab
Laca,Roto,LAC_Rot_tab
Laca,Zafiro,LAC_Zaf_tab
Linóleo,Pistacho,LIN_Pst_tab
Linóleo,Powder,LIN_Pow_tab
Laca,Curry,LAC_Cur_tab
Laminado,Metal,HPL_Met_tab
Laminado,Marble-Green,HPL_Mar_tab
Linóleo,Vapour,LIN_Vap_tab
Laminado,Graphite,HPL_Gra_tab
Laca,Blanco,LAC_bla_tab
Linóleo,Conifer,LIN_Con_tab
Laminado,Blush,HPL_Bsh_tab
Laminado,Caraibi,HPL_Car_tab
Laca,Ave,LAC_Ave_tab
